"data","tipo_avaliacao","valor","instituto","serie","controle_tempo"
"2013-03-01","Otimo-bom",63,"ibope",62.3333333333333,0
"2013-03-21","Otimo-bom",65,"datafolha",63.3333333333333,0
"2013-06-01","Otimo-bom",55,"ibope",61,0
"2013-06-07","Otimo-bom",57,"datafolha",59,0
"2013-06-28","Otimo-bom",30,"datafolha",47.3333333333333,0
"2013-07-01","Otimo-bom",31,"ibope",39.3333333333333,0
"2013-08-09","Otimo-bom",36,"datafolha",32.3333333333333,0
"2013-09-01","Otimo-bom",37,"ibope",34.6666666666667,0
"2013-10-11","Otimo-bom",38,"datafolha",37,0
"2013-11-01","Otimo-bom",43,"ibope",39.3333333333333,0
"2013-11-29","Otimo-bom",41,"datafolha",40.6666666666667,0
"2014-02-20","Otimo-bom",41,"datafolha",41.6666666666667,0
"2014-03-01","Otimo-bom",36,"ibope",39.3333333333333,0
"2014-04-03","Otimo-bom",36,"datafolha",37.6666666666667,0
"2014-05-08","Otimo-bom",35,"datafolha",35.6666666666667,0
"2014-06-01","Otimo-bom",31,"ibope",34,0
"2014-06-05","Otimo-bom",33,"datafolha",33,0
"2014-07-02","Otimo-bom",35,"datafolha",33,0
"2014-07-16","Otimo-bom",32,"datafolha",33.3333333333333,0
"2014-08-15","Otimo-bom",38,"datafolha",35,0
"2014-08-29","Otimo-bom",35,"datafolha",35,0
"2014-09-01","Otimo-bom",38,"ibope",37,0
"2014-09-03","Otimo-bom",36,"datafolha",36.3333333333333,0
"2014-09-09","Otimo-bom",36,"datafolha",36.6666666666667,0
"2014-09-18","Otimo-bom",37,"datafolha",36.3333333333333,0
"2014-09-26","Otimo-bom",37,"datafolha",36.6666666666667,0
"2014-09-30","Otimo-bom",39,"datafolha",37.6666666666667,0
"2014-10-02","Otimo-bom",39,"datafolha",38.3333333333333,0
"2014-10-09","Otimo-bom",39,"datafolha",39,0
"2014-10-15","Otimo-bom",40,"datafolha",39.3333333333333,0
"2014-10-21","Otimo-bom",42,"datafolha",40.3333333333333,0
"2014-12-01","Otimo-bom",40,"ibope",40.6666666666667,0
"2014-12-03","Otimo-bom",42,"datafolha",41.3333333333333,0
"2015-02-05","Otimo-bom",23,"datafolha",35,0
"2015-03-01","Otimo-bom",12,"ibope",25.6666666666667,0
"2015-03-17","Otimo-bom",13,"datafolha",16,0
"2015-04-10","Otimo-bom",13,"datafolha",12.6666666666667,0
"2015-06-01","Otimo-bom",9,"ibope",11.6666666666667,0
"2015-06-18","Otimo-bom",10,"datafolha",10.6666666666667,0
"2015-08-05","Otimo-bom",8,"datafolha",9,0
"2015-09-01","Otimo-bom",10,"ibope",9.33333333333333,0
"2015-11-26","Otimo-bom",10,"datafolha",9.33333333333333,0
"2015-12-01","Otimo-bom",9,"ibope",9.66666666666667,0
"2011-03-01","Regular",27,"ibope",NA,1
"2011-03-16","Regular",34,"datafolha",NA,1
"2011-06-10","Regular",38,"datafolha",33,0
"2011-07-01","Regular",36,"ibope",36,0
"2011-08-04","Regular",39,"datafolha",37.6666666666667,0
"2011-09-01","Regular",34,"ibope",36.3333333333333,0
"2011-12-01","Regular",32,"ibope",35,0
"2012-01-19","Regular",33,"datafolha",33,0
"2012-03-01","Regular",34,"ibope",33,0
"2012-04-19","Regular",29,"datafolha",32,0
"2012-06-01","Regular",32,"ibope",31.6666666666667,0
"2012-08-09","Regular",30,"datafolha",30.3333333333333,0
"2012-09-01","Regular",29,"ibope",30.3333333333333,0
"2012-12-01","Regular",29,"ibope",29.3333333333333,0
"2012-12-13","Regular",30,"datafolha",29.3333333333333,0
"2013-03-01","Regular",29,"ibope",29.3333333333333,0
"2013-03-21","Regular",27,"datafolha",28.6666666666667,0
"2013-06-01","Regular",32,"ibope",29.3333333333333,0
"2013-06-07","Regular",33,"datafolha",30.6666666666667,0
"2013-06-28","Regular",43,"datafolha",36,0
"2013-07-01","Regular",37,"ibope",37.6666666666667,0
"2013-08-09","Regular",42,"datafolha",40.6666666666667,0
"2013-09-01","Regular",39,"ibope",39.3333333333333,0
"2013-10-11","Regular",42,"datafolha",41,0
"2013-11-01","Regular",35,"ibope",38.6666666666667,0
"2013-11-29","Regular",41,"datafolha",39.3333333333333,0
"2014-02-20","Regular",41,"datafolha",39,0
"2014-03-01","Regular",36,"ibope",39.3333333333333,0
"2014-04-03","Regular",39,"datafolha",38.6666666666667,0
"2014-05-08","Regular",38,"datafolha",37.6666666666667,0
"2014-06-01","Regular",34,"ibope",37,0
"2014-06-05","Regular",38,"datafolha",36.6666666666667,0
"2014-07-02","Regular",38,"datafolha",36.6666666666667,0
"2014-07-16","Regular",38,"datafolha",38,0
"2014-08-15","Regular",38,"datafolha",38,0
"2014-08-29","Regular",39,"datafolha",38.3333333333333,0
"2014-09-01","Regular",33,"ibope",36.6666666666667,0
"2014-09-03","Regular",38,"datafolha",36.6666666666667,0
"2014-09-09","Regular",38,"datafolha",36.3333333333333,0
"2014-09-18","Regular",38,"datafolha",38,0
"2014-09-26","Regular",39,"datafolha",38.3333333333333,0
"2014-09-30","Regular",37,"datafolha",38,0
"2014-10-02","Regular",36,"datafolha",37.3333333333333,0
"2014-10-09","Regular",38,"datafolha",37,0
"2014-10-15","Regular",38,"datafolha",37.3333333333333,0
"2014-10-21","Regular",37,"datafolha",37.6666666666667,0
"2014-12-01","Regular",32,"ibope",35.6666666666667,0
"2014-12-03","Regular",33,"datafolha",34,0
"2015-02-05","Regular",33,"datafolha",32.6666666666667,0
"2015-03-01","Regular",23,"ibope",29.6666666666667,0
"2015-03-17","Regular",24,"datafolha",26.6666666666667,0
"2015-04-10","Regular",27,"datafolha",24.6666666666667,0
"2015-06-01","Regular",21,"ibope",24,0
"2015-06-18","Regular",24,"datafolha",24,0
"2015-08-05","Regular",20,"datafolha",21.6666666666667,0
"2015-09-01","Regular",21,"ibope",21.6666666666667,0
"2015-11-26","Regular",22,"datafolha",21,0
"2015-12-01","Regular",20,"ibope",21,0
"2011-03-01","Ruim-Pessimo",5,"ibope",NA,1
"2011-03-16","Ruim-Pessimo",7,"datafolha",NA,1
"2011-06-10","Ruim-Pessimo",10,"datafolha",7.33333333333333,0
"2011-07-01","Ruim-Pessimo",12,"ibope",9.66666666666667,0
"2011-08-04","Ruim-Pessimo",11,"datafolha",11,0
"2011-09-01","Ruim-Pessimo",11,"ibope",11.3333333333333,0
"2011-12-01","Ruim-Pessimo",9,"ibope",10.3333333333333,0
"2012-01-19","Ruim-Pessimo",6,"datafolha",8.66666666666667,0
"2012-03-01","Ruim-Pessimo",8,"ibope",7.66666666666667,0
"2012-04-19","Ruim-Pessimo",5,"datafolha",6.33333333333333,0
"2012-06-01","Ruim-Pessimo",8,"ibope",7,0
"2012-08-09","Ruim-Pessimo",7,"datafolha",6.66666666666667,0
"2012-09-01","Ruim-Pessimo",7,"ibope",7.33333333333333,0
"2012-12-01","Ruim-Pessimo",7,"ibope",7,0
"2012-12-13","Ruim-Pessimo",7,"datafolha",7,0
"2013-03-01","Ruim-Pessimo",7,"ibope",7,0
"2013-03-21","Ruim-Pessimo",7,"datafolha",7,0
"2013-06-01","Ruim-Pessimo",13,"ibope",9,0
"2013-06-07","Ruim-Pessimo",9,"datafolha",9.66666666666667,0
"2013-06-28","Ruim-Pessimo",25,"datafolha",15.6666666666667,0
"2013-07-01","Ruim-Pessimo",31,"ibope",21.6666666666667,0
"2013-08-09","Ruim-Pessimo",22,"datafolha",26,0
"2013-09-01","Ruim-Pessimo",22,"ibope",25,0
"2013-10-11","Ruim-Pessimo",19,"datafolha",21,0
"2013-11-01","Ruim-Pessimo",20,"ibope",20.3333333333333,0
"2013-11-29","Ruim-Pessimo",17,"datafolha",18.6666666666667,0
"2014-02-20","Ruim-Pessimo",21,"datafolha",19.3333333333333,0
"2014-03-01","Ruim-Pessimo",27,"ibope",21.6666666666667,0
"2014-04-03","Ruim-Pessimo",25,"datafolha",24.3333333333333,0
"2014-05-08","Ruim-Pessimo",26,"datafolha",26,0
"2014-06-01","Ruim-Pessimo",33,"ibope",28,0
"2014-06-05","Ruim-Pessimo",28,"datafolha",29,0
"2014-07-02","Ruim-Pessimo",26,"datafolha",29,0
"2014-07-16","Ruim-Pessimo",29,"datafolha",27.6666666666667,0
"2014-08-15","Ruim-Pessimo",23,"datafolha",26,0
"2014-08-29","Ruim-Pessimo",26,"datafolha",26,0
"2014-09-01","Ruim-Pessimo",28,"ibope",25.6666666666667,0
"2014-09-03","Ruim-Pessimo",24,"datafolha",26,0
"2014-09-09","Ruim-Pessimo",24,"datafolha",25.3333333333333,0
"2014-09-18","Ruim-Pessimo",24,"datafolha",24,0
"2014-09-26","Ruim-Pessimo",22,"datafolha",23.3333333333333,0
"2014-09-30","Ruim-Pessimo",23,"datafolha",23,0
"2014-10-02","Ruim-Pessimo",23,"datafolha",22.6666666666667,0
"2014-10-09","Ruim-Pessimo",22,"datafolha",22.6666666666667,0
"2014-10-15","Ruim-Pessimo",21,"datafolha",22,0
"2014-10-21","Ruim-Pessimo",20,"datafolha",21,0
"2014-12-01","Ruim-Pessimo",27,"ibope",22.6666666666667,0
"2014-12-03","Ruim-Pessimo",24,"datafolha",23.6666666666667,0
"2015-02-05","Ruim-Pessimo",44,"datafolha",31.6666666666667,0
"2015-03-01","Ruim-Pessimo",64,"ibope",44,0
"2015-03-17","Ruim-Pessimo",62,"datafolha",56.6666666666667,0
"2015-04-10","Ruim-Pessimo",60,"datafolha",62,0
"2015-06-01","Ruim-Pessimo",68,"ibope",63.3333333333333,0
"2015-06-18","Ruim-Pessimo",65,"datafolha",64.3333333333333,0
"2015-08-05","Ruim-Pessimo",71,"datafolha",68,0
"2015-09-01","Ruim-Pessimo",69,"ibope",68.3333333333333,0
"2015-11-26","Ruim-Pessimo",67,"datafolha",69,0
"2015-12-01","Ruim-Pessimo",70,"ibope",68.6666666666667,0
